Descriptor,Month,Count
Banging/Pounding,1,10409
Banging/Pounding,2,9900
Banging/Pounding,3,10589
Banging/Pounding,4,9807
Banging/Pounding,5,9363
Banging/Pounding,6,8253
Banging/Pounding,7,7736
Banging/Pounding,8,8863
Banging/Pounding,9,9637
Banging/Pounding,10,11584
Banging/Pounding,11,11265
Banging/Pounding,12,12430
Car/Truck Horn,1,650
Car/Truck Horn,2,548
Car/Truck Horn,3,1087
Car/Truck Horn,4,1751
Car/Truck Horn,5,1199
Car/Truck Horn,6,586
Car/Truck Horn,7,361
Car/Truck Horn,8,486
Car/Truck Horn,9,679
Car/Truck Horn,10,669
Car/Truck Horn,11,636
Car/Truck Horn,12,698
Car/Truck Music,1,1154
Car/Truck Music,2,1357
Car/Truck Music,3,2232
Car/Truck Music,4,2917
Car/Truck Music,5,4061
Car/Truck Music,6,3850
Car/Truck Music,7,3146
Car/Truck Music,8,3099
Car/Truck Music,9,3289
Car/Truck Music,10,2863
Car/Truck Music,11,1612
Car/Truck Music,12,1028
Engine Idling,1,687
Engine Idling,2,738
Engine Idling,3,875
Engine Idling,4,940
Engine Idling,5,1048
Engine Idling,6,887
Engine Idling,7,679
Engine Idling,8,847
Engine Idling,9,1007
Engine Idling,10,892
Engine Idling,11,735
Engine Idling,12,777
Loud Music/Party,1,15618
Loud Music/Party,2,16460
Loud Music/Party,3,23211
Loud Music/Party,4,25962
Loud Music/Party,5,35200
Loud Music/Party,6,48136
Loud Music/Party,7,40956
Loud Music/Party,8,38669
Loud Music/Party,9,58036
Loud Music/Party,10,45081
Loud Music/Party,11,36825
Loud Music/Party,12,39989
Loud Talking,1,3478
Loud Talking,2,3735
Loud Talking,3,4875
Loud Talking,4,5877
Loud Talking,5,8424
Loud Talking,6,6634
Loud Talking,7,6275
Loud Talking,8,5676
Loud Talking,9,7451
Loud Talking,10,7226
Loud Talking,11,5008
Loud Talking,12,4164
Loud Television,1,528
Loud Television,2,564
Loud Television,3,538
Loud Television,4,530
Loud Television,5,448
Loud Television,6,349
Loud Television,7,371
Loud Television,8,404
Loud Television,9,503
Loud Television,10,587
Loud Television,11,646
Loud Television,12,706
NYPD,1,8
NYPD,2,15
NYPD,3,14
NYPD,4,26
NYPD,5,28
NYPD,6,13
NYPD,7,19
NYPD,8,18
NYPD,9,26
NYPD,10,42
NYPD,11,19
NYPD,12,12
News Gathering,1,21
News Gathering,2,36
News Gathering,3,21
News Gathering,4,59
News Gathering,5,19
News Gathering,6,18
News Gathering,7,18
News Gathering,8,11
News Gathering,9,47
News Gathering,10,56
News Gathering,11,59
News Gathering,12,43
Other,1,1916
Other,2,2230
Other,3,2745
Other,4,2625
Other,5,2786
Other,6,2777
Other,7,2345
Other,8,1288
Other,9,1734
Other,10,2430
Other,11,2374
Other,12,2788


