Location Type,Count
1-2 Family Dwelling,10282
1-2 Family Mixed Use Building,953
1-3 Family Dwelling,92
1-3 Family Mixed Use Building,12
3+ Family Apartment Building,8651
3+ Family Apt. Building,21590
3+ Family Mixed Use Building,2551
Abandoned Building,17
Above Address,28686
Airport or Train/Bus Station,31
Alley,981
Apartment,266
Beach,57
Bike Lane,98
Bridge,575
Building,4
Building (Non-Residential),865
Building Condition,1
Building Entrance,17
Bus Stop Shelter,1293
Business,19975
Cafeteria - College/University,22
Cafeteria - Private,3
Cafeteria - Private School,9
Cafeteria - Public School,9
Catch Basin/Sewer,166
Catering Hall,2
Catering Service,72
Cemetery,1
Club/Bar/Restaurant,33037
Comercial,6392
Commercial,43
Commercial Building,3949
Commercial Property,12
Common Area,285
Construction Site,563
Correctional Facility - City,5
Correctional Facility - State,3
Crosswalk,298
Curb,1559
Day Care/Nursery,30
Doctor's Office,2
Ferry,402
Food Cart Vendor,258
Food Establishment or Vendor,536
Garage,24
Government Building,91
Green Cart Vendor,167
Groomer,10
Ground,3
Gutter,1120
Hallway,387
Highway,5447
Homeless Shelter,32
Horse Stable,5
Hospital,24
House and Store,249
House of Worship,1741
Inside,32
Intersection,265
Kennel/Animal Shelter,119
Lobby,177
Loft Building - Common Areas,21
Loft Residence,22
Lot,1895
Medical Facility,15
Mixed Use,8777
Mixed Use Building,4
Mobile Food Vendor,6936
Non-Profit,17
Nursing Home,3
Office Building,39
Other,4101
Other (Explain Below),7607
Other (explain in Complaint Details),55
Overpass,76
Park,35855
Park/Playground,17429
Parking Lot,47
Parking Lot/Garage,449
Permanent Food Stand,18
Petting Zoo/Animal Exhibit,15
Pier,38
Pool,152
Private House,266
Private Property,163
Private Residence,20
Private School,233
Public Garden,125
Public Garden/Park,32
Public Park/Garden,52
Public Plaza,3
Public School,105
Public Stairs,19
Public/Unfenced Area,1621
RESIDENTIAL BUILDING,734144
Residence,725
Residential,3214
Residential Building,4360
Residential Building/House,413129
Residential Property,226
Restaurant,65
Restaurant/Bar/Deli/Bakery,14167
Retail Store,270
Roadway Tunnel,48
Roof,21
Sauna,12
School,1838
School - College/University,4
School - K-12 Private,4
School - K-12 Public,23
School Safety Zone,15
School/Pre-School,66
Senior Center,17
Sidewalk,148399
Single Room Occupancy (SRO),25
Soup Kitchen,17
Spa Pool,11
Speed Reducer,117
Sports Arena,6
Stairwell,194
Steam Room,11
Store,32
Store/Commercial,53311
Street,335403
Street Area,84
Street Fair Vendor,20
Street Vendor,89
Street/Curbside,2040
Street/Sidewalk,1059847
Subway,15116
Subway Station,81
Summer Camp,1
Swamp or Pond,3
Tanning Salon,1
Tattoo Parlor,191
Taxi,6310
Terminal,109
Theater,39
Tire Shop,5
Traffic Island or Median,281
Vacant Building,411
Vacant Lot,907
Vacant Lot/Property,19
Vehicle Lane,112
Wooded Area,2
Yard,5162
