unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,address_type,city,facility_type,status,due_date,resolution_description,resolution_action_updated_date,community_board,borough,x_coordinate_state_plane,y_coordinate_state_plane,park_facility_name,park_borough,latitude,longitude,location,intersection_street_1,intersection_street_2,taxi_pick_up_location
34439635,2016-09-30T00:00:00.000,2016-10-06T00:00:00.000,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,3+ Family Apt. Building,10459,810 EAST  168 STREET,EAST  168 STREET,UNION AVENUE,PROSPECT AVENUE,ADDRESS,BRONX,N/A,Closed,2016-10-30T14:41:03.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,2016-10-06T00:00:00.000,03 BRONX,BRONX,1012245,241222,Unspecified,BRONX,40.82872977245334,-73.89884202415638,"{'type': 'Point', 'coordinates': [-73.89884202415638, 40.82872977245334]}",,,
34441818,2016-09-30T00:00:00.000,2016-10-14T00:00:00.000,DOHMH,Department of Health and Mental Hygiene,Unsanitary Animal Pvt Property,Dog,3+ Family Apartment Building,11207,629 WILSON AVENUE,WILSON AVENUE,DECATUR STREET,COOPER STREET,ADDRESS,BROOKLYN,N/A,Closed,2016-10-30T08:02:14.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,2016-10-14T00:00:00.000,04 BROOKLYN,BROOKLYN,1010243,190548,Unspecified,BROOKLYN,40.68964884630271,-73.90627202762974,"{'type': 'Point', 'coordinates': [-73.90627202762974, 40.68964884630271]}",,,
34440924,2016-09-30T00:00:00.000,2016-10-12T00:00:00.000,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11377,40-08 57 STREET,57 STREET,WOODSIDE AVENUE,ROOSEVELT AVENUE,ADDRESS,Woodside,N/A,Closed,2016-10-30T13:48:42.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,2016-10-12T00:00:00.000,02 QUEENS,QUEENS,1009929,210994,Unspecified,QUEENS,40.745769091470585,-73.907326278452,"{'type': 'Point', 'coordinates': [-73.907326278452, 40.745769091470585]}",,,
34440946,2016-09-30T00:00:00.000,2016-10-06T00:00:00.000,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Mixed Use Building,10456,EAST 169 STREET,EAST 169 STREET,PARK AVENUE,WASHINGTON AVENUE,BLOCKFACE,BRONX,N/A,Closed,2016-10-30T12:37:29.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,2016-10-06T00:00:00.000,Unspecified BRONX,BRONX,,,Unspecified,BRONX,,,,,,
34443086,2016-09-30T00:00:00.000,2016-10-02T00:00:00.000,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Dwelling,10472,1134 ROSEDALE AVENUE,ROSEDALE AVENUE,WATSON AVENUE,GLEASON AVENUE,ADDRESS,BRONX,N/A,Closed,2016-10-30T11:29:01.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,2016-10-02T00:00:00.000,09 BRONX,BRONX,1020659,241113,Unspecified,BRONX,40.828399922040205,-73.86843925521042,"{'type': 'Point', 'coordinates': [-73.86843925521042, 40.828399922040205]}",,,
34440838,2016-09-30T00:00:00.000,2016-09-30T00:00:00.000,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,1-2 Family Dwelling,10465,220 REVERE AVENUE,REVERE AVENUE,HARDING AVENUE,LAWTON AVENUE,ADDRESS,BRONX,N/A,Closed,2016-10-30T18:31:11.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,2016-09-30T18:34:55.000,10 BRONX,BRONX,1034909,236775,Unspecified,BRONX,40.816423128515986,-73.81698100240278,"{'type': 'Point', 'coordinates': [-73.81698100240278, 40.816423128515986]}",,,
34440231,2016-09-30T00:00:00.000,2016-10-19T00:00:00.000,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10028,445 EAST   83 STREET,EAST   83 STREET,1 AVENUE,YORK AVENUE,ADDRESS,NEW YORK,N/A,Closed,2016-10-30T18:52:33.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,2016-10-19T00:00:00.000,08 MANHATTAN,MANHATTAN,998168,221450,Unspecified,MANHATTAN,40.77449445696748,-73.94974924771603,"{'type': 'Point', 'coordinates': [-73.94974924771603, 40.77449445696748]}",,,
34440936,2016-09-30T00:00:00.000,2016-09-30T00:00:00.000,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10467,679 MAGENTA STREET,MAGENTA STREET,OLINVILLE AVENUE,WHITE PLAINS ROAD,ADDRESS,BRONX,N/A,Closed,2016-10-30T10:16:33.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,2016-09-30T10:24:19.000,12 BRONX,BRONX,1020811,258198,Unspecified,BRONX,40.87529249437939,-73.86779684567934,"{'type': 'Point', 'coordinates': [-73.86779684567934, 40.87529249437939]}",,,
34443132,2016-09-30T00:00:00.000,2016-10-06T00:00:00.000,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10459,1417 PROSPECT AVENUE,PROSPECT AVENUE,JENNINGS STREET,EAST 170 STREET,ADDRESS,BRONX,N/A,Closed,2016-10-30T23:18:41.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,2016-10-06T00:00:00.000,03 BRONX,BRONX,1012869,242619,Unspecified,BRONX,40.832562134246665,-73.89658128613883,"{'type': 'Point', 'coordinates': [-73.89658128613883, 40.832562134246665]}",,,
34438587,2016-09-30T00:00:00.000,2016-09-30T00:00:00.000,DOHMH,Department of Health and Mental Hygiene,Unsanitary Animal Pvt Property,Dog,1-2 Family Dwelling,10465,3135 COUNTRY CLUB ROAD,COUNTRY CLUB ROAD,KEARNEY AVENUE,ROBERTSON PLACE,ADDRESS,BRONX,N/A,Closed,2016-10-30T12:26:07.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,2016-09-30T12:33:27.000,10 BRONX,BRONX,1032853,246276,Unspecified,BRONX,40.84251215227546,-73.82433999222908,"{'type': 'Point', 'coordinates': [-73.82433999222908, 40.84251215227546]}",,,
